lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,3899,0.2803870141506195,0.0028873479459434748,0.2803870141506195,3899.0,6,,,,,,,,,
0.01,3949,,,,,,,,,,,,,,
,3949,0.07611458003520966,0.00025411677779629827,0.07611458003520966,3949.0,6,,,,,,,,,
0.01,3999,,,,,,,,,,,,,,
,3999,0.02298918180167675,9.159825276583433e-05,0.02298918180167675,3999.0,6,,,,,,,,,
0.01,4049,,,,,,,,,,,,,,
,4049,0.03841281682252884,0.00014060072135180235,0.03841281682252884,4049.0,6,,,,,,,,,
0.01,4099,,,,,,,,,,,,,,
,4099,0.021778259426355362,8.618732681497931e-05,0.021778259426355362,4099.0,6,,,,,,,,,
0.01,4149,,,,,,,,,,,,,,
,4149,0.019826536998152733,8.712941053090617e-05,0.019826536998152733,4149.0,6,,,,,,,,,
0.01,4199,,,,,,,,,,,,,,
,4199,0.19502094388008118,0.000706536928191781,0.19502094388008118,4199.0,6,,,,,,,,,
,4199,,,,,6,0.19012780487537384,0.001511204638518393,0.19012780487537384,0.1161944568157196,0.0006140603218227625,0.1161944568157196,,,
,4199,,,,,6,,,,,,,0.12595504522323608,0.002532521728426218,0.12595504522323608
0.01,4249,,,,,,,,,,,,,,
,4249,0.059964120388031006,0.00021039358398411423,0.059964120388031006,4249.0,7,,,,,,,,,
0.01,4299,,,,,,,,,,,,,,
,4299,0.06812278181314468,0.00023441907251253724,0.06812278181314468,4299.0,7,,,,,,,,,
0.01,4349,,,,,,,,,,,,,,
,4349,0.288888543844223,0.00403850432485342,0.288888543844223,4349.0,7,,,,,,,,,
0.01,4399,,,,,,,,,,,,,,
,4399,0.12134929746389389,0.0004442160134203732,0.12134929746389389,4399.0,7,,,,,,,,,
0.01,4449,,,,,,,,,,,,,,
,4449,0.023248428478837013,9.693900210550055e-05,0.023248428478837013,4449.0,7,,,,,,,,,
0.01,4499,,,,,,,,,,,,,,
,4499,0.07711826264858246,0.0002636879216879606,0.07711826264858246,4499.0,7,,,,,,,,,
0.01,4549,,,,,,,,,,,,,,
,4549,0.05798112973570824,0.0002098676050081849,0.05798112973570824,4549.0,7,,,,,,,,,
0.01,4599,,,,,,,,,,,,,,
,4599,0.08364841341972351,0.0002873793710023165,0.08364841341972351,4599.0,7,,,,,,,,,
0.01,4649,,,,,,,,,,,,,,
,4649,0.09060761332511902,0.00040489138336852193,0.09060761332511902,4649.0,7,,,,,,,,,
0.01,4699,,,,,,,,,,,,,,
,4699,0.14830423891544342,0.0006035606493242085,0.14830423891544342,4699.0,7,,,,,,,,,
0.01,4749,,,,,,,,,,,,,,
